"pclass","survived","sex","age","sibsp","parch","fare","embarked","title","solo"
"1st","1","female",29,0,0,211.337494,"Southampton","Miss","1"
"1st","0","male",71,0,0,49.5042,"Cherbourg","Mr","1"
"1st","1","female",48,1,0,39.5999985,"Cherbourg","Lady","0"
"3rd","1","female",NA,0,0,7.75,"Queenstown","Miss","1"
"3rd","1","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","female",NA,2,0,23.25,"Queenstown","Miss","0"
"3rd","1","female",NA,2,0,23.25,"Queenstown","Miss","0"
"3rd","1","male",NA,2,0,23.25,"Queenstown","Mr","0"
"3rd","1","female",NA,0,0,7.7874999,"Queenstown","Miss","1"
"3rd","0","male",NA,0,0,15.5,"Queenstown","Mr","1"
"3rd","1","female",NA,0,0,7.87919998,"Queenstown","Miss","1"
"3rd","1","female",15,0,0,8.0291996,"Queenstown","Miss","1"
"3rd","0","female",35,0,0,7.75,"Queenstown","Miss","1"
"1st","1","male",49,1,0,56.9291992,"Cherbourg","Sir","0"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","0","male",24,1,0,16.1000004,"Southampton","Mr","0"
"3rd","0","female",19,1,0,16.1000004,"Southampton","Mrs","0"
"3rd","0","female",NA,0,0,7.75,"Queenstown","Miss","1"
"3rd","0","female",NA,0,0,8.05000019,"Southampton","Miss","1"
"3rd","0","female",NA,0,0,8.05000019,"Southampton","Mrs","1"
"3rd","0","male",55.5,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","male",21,0,0,7.7750001,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"1st","0","male",39,0,0,29.7000008,"Cherbourg","Mr","1"
"3rd","0","male",24,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",21,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",28,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","1","female",NA,0,0,7.87919998,"Queenstown","Miss","1"
"3rd","0","male",25,0,0,7.6500001,"Southampton","Mr","1"
"3rd","1","male",6,0,1,12.4750004,"Southampton","Master","0"
"3rd","1","female",27,0,1,12.4750004,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","female",NA,1,0,24.1499996,"Queenstown","Miss","0"
"1st","1","female",23,0,1,83.1583023,"Cherbourg","Mrs","0"
"3rd","0","male",NA,1,0,24.1499996,"Queenstown","Mr","0"
"3rd","0","male",NA,0,0,8.45829964,"Queenstown","Mr","1"
