"pclass","survived","sex","age","sibsp","parch","fare","embarked","title","solo"
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",1,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",1,"female",18.4545609963683,2,0,23.25,"Queenstown","Miss",0
"3rd",1,"female",18.4545609963683,2,0,23.25,"Queenstown","Miss",0
"3rd",1,"male",28.7947470604019,2,0,23.25,"Queenstown","Mr",0
"3rd",1,"female",24.3962835363964,0,0,7.7874999,"Queenstown","Miss",1
"3rd",0,"male",33.7962181415581,0,0,15.5,"Queenstown","Mr",1
"3rd",1,"female",24.2132766463558,0,0,7.87919998,"Queenstown","Miss",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"female",24.530104581074,0,0,8.05000019,"Southampton","Miss",1
"3rd",0,"female",35.4652417679541,0,0,8.05000019,"Southampton","Mrs",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",1,"female",24.2132766463558,0,0,7.87919998,"Queenstown","Miss",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"female",19.8140764975436,1,0,24.1499996,"Queenstown","Miss",0
"3rd",0,"male",32.2994113070569,1,0,24.1499996,"Queenstown","Mr",0
"3rd",0,"male",31.3730913362994,0,0,8.45829964,"Queenstown","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",1,"male",28.4233659330126,0,0,7.7750001,"Southampton","Mr",1
"3rd",1,"male",6.9969449714725,1,1,15.2458,"Cherbourg","Master",0
"3rd",1,"male",6.9969449714725,1,1,15.2458,"Cherbourg","Master",0
"3rd",1,"female",28.9864571490975,0,2,15.2458,"Cherbourg","Mrs",0
"3rd",1,"female",31.9376635979114,0,0,7.22919989,"Cherbourg","Mrs",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"female",23.752512963868,0,0,7.73330021,"Queenstown","Miss",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"female",19.4606296269887,1,0,15.5,"Queenstown","Miss",0
"3rd",1,"female",19.4606296269887,1,0,15.5,"Queenstown","Miss",0
"3rd",1,"female",24.0333235404375,0,0,15.5,"Queenstown","Miss",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",0,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"1st",0,"male",38.7855666070083,0,0,221.779205,"Southampton","Mr",1
"3rd",0,"male",32.634900670086,1,0,15.5,"Queenstown","Mr",0
"3rd",0,"male",31.6084855695835,0,0,7.82919979,"Queenstown","Mr",1
"3rd",1,"female",30.2717683765279,1,0,15.5,"Queenstown","Mrs",0
"3rd",0,"male",30.2923353037885,0,0,7.73330021,"Queenstown","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"female",27.2378376744867,0,0,7.75,"Queenstown","Ms",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",1,"female",24.2132766463558,0,0,7.87919998,"Queenstown","Miss",1
"1st",1,"female",46.2966633033384,0,0,31.6833,"Southampton","Mrs",1
"3rd",1,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",1,"female",24.2309794941474,0,0,7.82919979,"Queenstown","Miss",1
"3rd",0,"male",28.9381368347078,0,0,7.3125,"Southampton","Mr",1
"1st",1,"female",33.7727404752387,0,0,110.883301,"Cherbourg","Miss",1
"3rd",0,"female",23.9007440736136,0,0,7.62919998,"Queenstown","Miss",1
"3rd",0,"male",28.1617931245684,0,0,8.71249962,"Cherbourg","Mr",1
"3rd",0,"male",30.0355381536746,0,0,7,"Southampton","Mr",1
"3rd",0,"male",28.4233659330126,0,0,7.7750001,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"male",6.81922999253145,1,1,22.3582993,"Cherbourg","Master",0
"3rd",1,"female",8.01389455824522,1,1,22.3582993,"Cherbourg","Miss",0
"3rd",1,"female",28.7353160926255,0,2,22.3582993,"Cherbourg","Mrs",0
"3rd",0,"female",23.94472163378,0,0,8.13749981,"Queenstown","Miss",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"female",35.4358978144291,0,0,8.11250019,"Southampton","Mrs",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",0,"male",28.9651496552207,0,0,7.25,"Southampton","Mr",1
"3rd",1,"female",23.797312963868,0,0,7.72079992,"Queenstown","Miss",1
"3rd",0,"male",29.4570541915035,0,0,14.5,"Southampton","Mr",1
"3rd",0,"female",35.4432773125597,0,0,14.5,"Southampton","Mrs",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.4233659330126,0,0,7.7750001,"Southampton","Mr",1
"3rd",1,"female",24.530104581074,0,0,8.05000019,"Southampton","Miss",1
"3rd",1,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",34.3567650118454,0,0,24.1499996,"Queenstown","Mr",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",0,"male",30.2923353037885,0,0,7.72919989,"Queenstown","Mr",1
"3rd",0,"male",28.8413712291547,0,0,7.57499981,"Southampton","Mr",1
"3rd",0,"male",11.3190316477512,8,2,69.5500031,"Southampton","Master",0
"3rd",0,"female",15.0088519085767,8,2,69.5500031,"Southampton","Miss",0
"3rd",0,"female",15.0088519085767,8,2,69.5500031,"Southampton","Miss",0
"3rd",0,"female",15.0088519085767,8,2,69.5500031,"Southampton","Miss",0
"3rd",0,"female",15.0088519085767,8,2,69.5500031,"Southampton","Miss",0
"3rd",0,"male",20.3711273572689,8,2,69.5500031,"Southampton","Mr",0
"3rd",0,"male",20.3711273572689,8,2,69.5500031,"Southampton","Mr",0
"3rd",0,"male",20.3711273572689,8,2,69.5500031,"Southampton","Mr",0
"3rd",0,"male",38.5462127003063,1,9,69.5500031,"Southampton","Mr",0
"3rd",0,"female",41.0373569011708,1,9,69.5500031,"Southampton","Mrs",0
"3rd",0,"male",24.4005728402086,2,0,21.6791992,"Cherbourg","Mr",0
"3rd",0,"male",24.4005728402086,2,0,21.6791992,"Cherbourg","Mr",0
"3rd",0,"male",24.4005728402086,2,0,21.6791992,"Cherbourg","Mr",0
"1st",0,"male",43.5609765880706,0,0,26.5499992,"Southampton","Mr",1
"3rd",0,"male",30.2923353037885,0,0,7.7249999,"Queenstown","Mr",1
